,station_name,latitude,longitude
113,Bay St / Albert St,43.653264,-79.382458
114,Phoebe St / Spadina Ave,43.650033,-79.396555
115,Bay St / St. Joseph St,43.665527,-79.387499
116,Ted Rogers Way / Bloor St E,43.671293,-79.380471
117,Dundonald St / Church St,43.66663,-79.38148
118,Gould St / Mutual St,43.6582,-79.3768
119,Boston Ave / Queen St E,43.661508,-79.338931
120,Riverdale Park North (Broadview Ave),43.671172,-79.354704
121,Chester Station,43.678056,-79.352222
122,Danforth Ave / Ellerbeck St,43.677076,-79.35667
123,Pape Subway Green P,43.680223,-79.344062
124,Danforth Ave / Gough Ave,43.678401,-79.346289
125,Danforth Ave / Lamb Ave,43.681991,-79.329455
126,King St W / Stafford St,43.6422222,-79.41111111111111
127,Dufferin St / Bloor St,43.66083333333333,-79.43583333333333
128,Salem Ave / Bloor St W,43.6608333,-79.43166666666667
129,Bathurst St / Lennox St,43.663808,-79.410491
130,Bathurst Subway Station,43.6666667,-79.41166666666668
131,Bloor St W / Christie St,43.6638889,-79.41888888888889
132,Ossington Ave / Bloor St W,43.661705,-79.425734
133,Essex St / Christie St,43.6686111,-79.42027777777778
134,Cherry St / Mill St,43.651248,-79.357848
135,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889
136,80 Clinton St (North of College),43.656296,-79.414663
137,Queen St W / York St (City Hall),43.651667,-79.384167
138,Dundas St W / Crawford St,43.649722,-79.416944
139,Claremont St / Dundas St W,43.651281,-79.411717
140,Rusholme Park Cres / College St,43.65277778,-79.42972222
141,College St / Crawford St,43.655,-79.418889
142,Parliament St / Aberdeen Ave,43.665278,-79.368333
143,Liberty St / Fraser Ave Green P,43.637981,-79.424146
144,King St W / Douro St,43.640885,-79.416379
145,Castle Frank Station,43.674083,-79.368579
146,Parliament St / Bloor St E,43.671827,-79.371849
147,Howard St / Sherbourne St,43.6712581,-79.376367
148,Carlton St / Parliament St,43.664524,-79.36793
149,King St W / Bay St (East Side),43.648575,-79.380042
150,Front St W / Blue Jays Way,43.643473,-79.390477
151,Wellington St W / Bay St,43.647259,-79.379878
152,Metro Hall Plaza,43.645859,-79.38783
153,Richmond St E / Jarvis St Green P,43.652634,-79.374222
154,Wellesley St E / Yonge St (Green P),43.66506,-79.38357
155,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051
156,Jarvis St / Carlton St,43.66207,-79.37617
157,Bloor St W / Balmuto St,43.669903,-79.387802
158,Queen St W / James St,43.652276,-79.380701
159,Donlands Station,43.681126,-79.337779
160,Riverdale Park South (Broadview Ave),43.667819,-79.35347
161,Bremner Blvd / Rees St,43.641529,-79.386741
162,Bay St / Queens Quay W (Ferry Terminal),43.640823,-79.376265
163,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
164,King St W / Bay St (West Side),43.64852,-79.380576
165,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327
166,Scott St / The Esplanade,43.64656,-79.375274
167,King St W / Spadina Ave,43.645323,-79.395003
168,Wellington St W / Portland St,43.642982,-79.399256
169,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556
170,Queens Quay / Yonge St,43.641646,-79.375308
171,Front St W / Bay St (North Side),43.646162,-79.378912
172,Danforth Ave / Westlake Ave,43.687323,-79.304848
173,Danforth Ave / Aldridge Ave,43.684758,-79.316767
174,Jarvis St / Isabella St,43.668991,-79.379385
175,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556
176,Yonge St / Wood St,43.6622222,-79.3825
177,King St W / Tecumseth St,43.64333333333333,-79.40555555555557
178,Queen St E / George St (Moss Park),43.6544444,-79.3711111111111
179,Front St W / Bay St (South Side),43.64595,-79.378761
180,Taddle Creek Park,43.66986,-79.398443
181,Ward Ave / Wallace Ave,43.662251,-79.446036
182,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842
183,Garden Ave / Roncesvalles Ave,43.643769,-79.447915
184,Huron/ Harbord St,43.6637,-79.400053
185,McGill St / Church St,43.660694,-79.379052
186,Church St / Bloor St E,43.671389,-79.382919
187,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663
188,Parliament St / Gerrard St,43.662132,-79.3656796
189,Bay St / Wellesley St W,43.664088,-79.387095
190,Humber Bay Shores Park West,43.6224434,-79.480284
191,Humber Bay Shores Park East,43.6308933,-79.4722622
192,Augusta Ave / Denison Sq,43.653766,-79.4016759
193,Widmer St / Adelaide St W,43.6475076,-79.3914841
194,York St / Queens Quay W,43.640132,-79.380464
